outer_fold,best_h,test_mse_ann,best_lambda,test_mse_lr,baseline_mse
1,475,20.42944270030461,0.32222222222222224,67.68602345222124,135.5952122726102
2,550,18.289009789209064,0.3666666666666667,66.30479112284348,129.4322705171974
3,550,18.72970663251377,0.1,62.957185536428476,130.83533511487602
4,625,19.375693568184666,0.1,64.17866296788976,135.22189009152038
5,750,18.142386878134424,0.18888888888888888,65.9031722363736,136.05957283780361
6,625,18.483846001245723,0.1,66.32817641294704,142.27586177457766
7,625,20.895688448771878,0.18888888888888888,68.64616631648687,143.8045780221661
8,700,21.467112976608,0.5,68.70453225082082,139.4143616941688
9,750,18.165837502467014,0.14444444444444446,62.26825406566837,133.13177066970763
10,325,20.429289945340024,0.23333333333333334,65.32432110883164,138.17621145063416
